planet,name,gm,radius,density,magnitude,albedo
8,Psamathe,0.0033,20.0,1.5,25.5R,0.04
8,Sao,0.0045,22.0,1.5,25.5R,0.04
8,Laomedeia,0.0039,21.0,1.5,25.5R,0.04
8,Neso,0.011,30.0,1.5,24.6R,0.04
8,S/2004 N1,0.0003,9.0,1.3,26.5V,0.10
9,Charon,102.3±0.2,603.6±1.4,1.664±0.012,17.26±0.01,0.372±0.012
9,Nix,0.0013±0.0023,23.0±2.,2.1,23.4V±0.2,0.35
9,Hydra,0.0065±0.0022,30.5±4.,0.8,22.9V±0.1,0.35
9,Kerberos,0.0011±0.0005,14.0,1.4,26.1V±0.3,0.35
9,Styx,0.0000±0.0008,10.0,?,27.0V±0.3,0.35
